№,Name:,Description:,Price:,Image Url:
1,EXEED RX,"2023 г., 2 л., робот внедорожник 5 дв., бензин руль слева, 30 км",$ 34 500,https://im.mashina.kg/tachka/images//2/a/b/2aba688bd1df7052661b0669da8e1b7c_240x180.jpg
2,Hyundai Santa Fe,"2019 г., 2 л., автомат внедорожник 5 дв., дизель руль слева, 140 000 км",$ 21 800,https://im.mashina.kg/tachka/images//a/7/e/a7ec7453f821fff4fa3436898645d07b_240x180.jpg
3,Toyota Land Cruiser,"2009 г., 4.7 л., автомат внедорожник 5 дв., бензин руль слева, 123 457 км",$ 28 200,https://im.mashina.kg/tachka/images//5/5/2/5527059fb84e9db71827175d529afa39_240x180.jpg
4,Toyota Land Cruiser,"2012 г., 4.6 л., автомат внедорожник 5 дв., бензин руль слева, 126 000 км",$ 51 000,https://im.mashina.kg/tachka/images//8/3/f/83f88b45ff32519b3601790a4fbaa3f7_240x180.jpg
5,Toyota Land Cruiser,"2017 г., 4.5 л., автомат внедорожник 5 дв., дизель руль слева, 91 000 км",$ 72 000,https://im.mashina.kg/tachka/images//9/9/5/995addac0479d72d454fa5cf133a1073_240x180.jpg
6,Toyota RAV4,"2023 г., 2 л., вариатор внедорожник 5 дв., бензин руль слева, 20 км",$ 39 800,https://im.mashina.kg/tachka/images//f/b/2/fb25067c4dbe666bc524aa1e93ab1962_240x180.jpg
7,Mercedes-Benz E-класс,"2017 г., 2 л., автомат седан, бензин руль слева, 380 300 км",$ 22 500,https://im.mashina.kg/tachka/images//6/8/1/681dc698d4f15622cc8239e84e7efffc_240x180.jpg
8,BMW 7 серии,"2017 г., 3 л., автомат седан, дизель руль слева, 120 000 км",$ 43 500,https://im.mashina.kg/tachka/images//8/0/9/809b5e8b8cc2fc7b6841ebcefbf2f357_240x180.jpg
9,Lexus LX,"2016 г., 5.7 л., автомат внедорожник 5 дв., бензин руль слева, 98 000 км",$ 88 000,https://im.mashina.kg/tachka/images//3/f/2/3f2a5fd27ff8e31945843feb709b14a4_240x180.jpg
10,Land Rover Range Rover,"2013 г., 5 л., автомат внедорожник 5 дв., бензин руль слева, 140 000 км",$ 38 500,https://im.mashina.kg/tachka/images//8/1/4/814495b1e1eca58529f807d81680a048_240x180.jpg
11,Kia Sportage,"2021 г., 2 л., автомат внедорожник 5 дв., дизель руль слева, 14 600 км",$ 33 000,https://im.mashina.kg/tachka/images//4/f/8/4f8ef4cea6eab545bc76e7d9a75a04b8_240x180.jpg
12,Mercedes-Benz GL-класс,"2013 г., 4.7 л., автомат внедорожник 5 дв., бензин руль слева, 237 000 км",$ 49 000,https://im.mashina.kg/tachka/images//3/c/3/3c3b95a417eec0348dc3c20ce8c32d96_240x180.jpg
13,BYD Han,"2022 г., автомат седан, электро руль слева, 140 км",$ 43 000,https://im.mashina.kg/tachka/images//c/1/2/c121352f140bcbaf71fa276793eb2f73_240x180.jpg
14,Geely Monjaro,"2023 г., 2 л., автомат внедорожник 5 дв., бензин руль слева, 10 км",$ 32 200,https://im.mashina.kg/tachka/images//6/0/4/604266eb7b11a61bf5033fb34c3a0a07_240x180.jpg
15,Geely Preface,"2023 г., 2 л., робот седан, бензин руль слева, 20 км",$ 25 500,https://im.mashina.kg/tachka/images//e/b/a/ebae887c7b1c59a16579c19100f8791f_240x180.jpg
16,Mercedes-Benz C-Класс AMG,"2017 г., 4 л., автомат седан, бензин руль слева, 97 000 км",$ 65 000,https://im.mashina.kg/tachka/images//a/d/5/ad508080a5f8ba24920fda5e49419914_240x180.jpg
17,Lexus GX,"2005 г., 4.7 л., автомат внедорожник 5 дв., бензин руль слева, 220 000 км",$ 22 300,https://im.mashina.kg/tachka/images//0/8/9/089e2bf6fece451b245a49be50f6d965_240x180.jpg
18,Mercedes-Benz GLS,"2017 г., 3 л., автомат внедорожник 5 дв., дизель руль слева, 105 000 км",$ 57 000,https://im.mashina.kg/tachka/images//6/d/1/6d1cc86e133a446c29e2b22f0b641f64_240x180.jpg
19,Toyota RAV4,"2019 г., 2.5 л., вариатор внедорожник 5 дв., гибрид руль слева, 32 500 км",$ 27 000,https://im.mashina.kg/tachka/images//c/f/8/cf86bb874f5b57775002217dc386e1dd_240x180.jpg
20,Hyundai Sonata,"2019 г., 2 л., автомат седан, бензин / газ руль слева, 125 000 км",$ 21 500,https://im.mashina.kg/tachka/images//4/2/c/42c2d40aebc2376622b6b9b9f36fc7b0_240x180.jpg
21,Toyota Avalon,"2019 г., 2.5 л., вариатор седан, гибрид руль слева, 66 000 км",$ 34 500,https://im.mashina.kg/tachka/images//e/3/4/e34e032e81b51f3c4b3d230abc1b5a03_240x180.jpg
22,Hyundai Palisade,"2020 г., 3.8 л., автомат внедорожник 5 дв., бензин руль слева, 34 000 км",$ 45 000,https://im.mashina.kg/tachka/images//8/8/f/88fe33d852c80834c97ae90e4e080bca_240x180.jpg
23,Lexus RX,"2022 г., 3.5 л., вариатор внедорожник 5 дв., гибрид руль слева, 13 000 км",$ 74 500,https://im.mashina.kg/tachka/images//6/6/2/6625f3e8e9dff4b38afeedcf1170f8cb_240x180.jpg
24,Toyota Land Cruiser Prado,"2008 г., 3 л., автомат внедорожник 5 дв., дизель руль слева, 243 800 км",$ 23 500,https://im.mashina.kg/tachka/images//9/8/d/98ddc5078939429b4ffee5ea9883f890_240x180.jpg
25,Lexus GX,"2008 г., 4.7 л., автомат внедорожник 5 дв., бензин руль слева, 303 000 км",$ 25 999,https://im.mashina.kg/tachka/images//6/c/f/6cfb89555d8dee4d9ff4f9717fc3b7ab_240x180.jpg
26,Lexus GX,"2007 г., 4.7 л., автомат внедорожник 5 дв., бензин руль слева, 252 000 км",$ 26 700,https://im.mashina.kg/tachka/images//6/8/7/687a96b2f611426c456fd91797b0f1ac_240x180.jpg
27,Hyundai Grandeur,"2022 г., 3.5 л., автомат седан, бензин руль слева, 60 км",$ 65 000,https://im.mashina.kg/tachka/images//4/f/c/4fc4a4f5954e310829d39021a8edcb5f_240x180.jpg
28,LiXiang L9,"2023 г., 1.5 л., автомат внедорожник 5 дв., гибрид руль слева, 10 км",$ 75 500,https://im.mashina.kg/tachka/images//8/9/7/897ff4aacc2bfdfbf52369d204900f81_240x180.jpg
29,Toyota Camry,"2018 г., 2.5 л., вариатор седан, гибрид руль слева, 91 000 км",$ 25 000,https://im.mashina.kg/tachka/images//2/8/c/28c114d30d5b03fd09b8ebaf14f659de_240x180.jpg
30,Toyota Camry,"2018 г., 2.5 л., вариатор седан, гибрид руль слева, 100 000 км",$ 26 500,https://im.mashina.kg/tachka/images//f/b/2/fb2d6969b8224afdeb2564bc568ab57f_240x180.jpg
31,BMW 5 серии,"2022 г., 2 л., автомат седан, бензин руль слева, 6 600 км",$ 50 000,https://im.mashina.kg/tachka/images//f/4/2/f42ecac7b087de134cfcf4c41d7b5064_240x180.jpg
32,Zeekr X,"2023 г., автомат внедорожник 5 дв., электро руль слева, 34 км",$ 39 000,https://im.mashina.kg/tachka/images//1/0/6/106c884439752639e053f225a2e9b4ab_240x180.jpg
33,Zeekr X,"2023 г., автомат внедорожник 5 дв., электро руль слева",$ 40 700,https://im.mashina.kg/tachka/images//c/a/9/ca9c86ea1800e5c755f00e8fae348d53_240x180.jpg
34,Hyundai Palisade,"2022 г., 3.8 л., автомат внедорожник 5 дв., бензин руль слева, 18 000 км",$ 58 000,https://im.mashina.kg/tachka/images//f/e/e/feed29328c9499617b2aea3746c022b3_240x180.jpg
35,BMW X5,"2009 г., 4.8 л., автомат внедорожник 5 дв., бензин руль слева, 170 000 км",$ 17 000,https://im.mashina.kg/tachka/images//7/d/1/7d121148d7898d488aefaafd5738243e_240x180.jpg
36,BMW X5,"2016 г., 3 л., автомат внедорожник 5 дв., бензин руль слева, 86 000 км",$ 35 000,https://im.mashina.kg/tachka/images//b/4/5/b45bb0eff1796730b0c947dffeaa79a9_240x180.jpg
37,Kia Telluride,"2019 г., 3.8 л., автомат внедорожник 5 дв., бензин руль слева, 45 000 км",$ 38 500,https://im.mashina.kg/tachka/images//e/e/7/ee75c2fc590e4715bcc328379a02a15a_240x180.jpg
38,Hyundai Palisade,"2018 г., 2.2 л., автомат внедорожник 5 дв., дизель руль слева, 146 000 км",$ 35 200,https://im.mashina.kg/tachka/images//4/d/7/4d71c98c490fd18cf17bde2137b4d9b2_240x180.jpg
39,Lexus NX,"2017 г., 2.5 л., вариатор внедорожник 5 дв., гибрид руль слева, 78 000 км",$ 33 800,https://im.mashina.kg/tachka/images//c/c/a/cca43067e58e7b75645819995d935ea6_240x180.jpg
40,Lexus ES,"2012 г., 3.5 л., автомат седан, бензин руль слева, 65 000 км",$ 20 700,https://im.mashina.kg/tachka/images//f/2/f/f2f9501fe6e1d9ac4881c67f30f2b286_240x180.jpg
41,BMW 5 серии,"2018 г., 3 л., автомат седан, бензин руль слева, 80 585 км",$ 44 850,https://im.mashina.kg/tachka/images//e/9/c/e9c4ce8bf06a623ab1c9063969e88e35_240x180.jpg
42,Toyota Camry,"2018 г., 2.5 л., автомат седан, бензин руль слева, 85 000 км",$ 29 800,https://im.mashina.kg/tachka/images//3/6/e/36eabb261387481b155fec348ac4a7a1_240x180.jpg
43,Toyota Caldina,"2003 г., 1.8 л., автомат универсал, бензин руль справа, 649 000 км",$ 5 474,https://im.mashina.kg/tachka/images//f/6/d/f6d38ca893d01a4ce865bb11fc089e38_240x180.jpg
44,Toyota Camry,"2016 г., 2.5 л., автомат седан, бензин руль слева, 131 000 км",$ 21 500,https://im.mashina.kg/tachka/images//0/0/6/006b1ed34f686e2ff2c2af487613104e_240x180.jpg
