№,Description:,Price:,Image Url:,Avatar:
1,"3 комнаты, С мебелью полностью",89 320 KGS,https://img5.lalafo.com/i/posters/api/d3/9c/02/a11b3320a758e3cc2438169b65.jpeg,https://img5.lalafo.com/i/business-profile/c4/03/b1/21d0eb2970b09244af21c056b9.jpeg
2,"Тройник переход Для строймаркета ""Aqua Stroy"" качество продукции на",Договорная,https://img5.lalafo.com/i/posters/api/d3/02/f4/9741eb71403c1f765f9cee042d.jpeg,https://img5.lalafo.com/i/business-profile/af/68/07/56d98f97a2de52643c66585ed0.jpg
3,"Mercedes-Benz : 1992 г., 2.3 л, Механика, Дизель, | Бус",299 000 KGS,https://img5.lalafo.com/i/posters/api/ff/73/be/14e2a2a51db90a793c999ee63a.jpeg,https://img5.lalafo.com/i/avatar/f4/49/ba/42e343dfed8969ef8e7875f76a.jpg
4,"Продаю женские сапожки зимние, 35й размер, одевала 1 раз на пол дня на",1 500 KGS,,
5,"Hyundai Портер: 2016 г., 2.6 л, Механика, Дизель",9 825 200 KGS,https://img5.lalafo.com/i/posters/api/77/9b/a2/66a8c4136c0f9fd0377f9d1466.jpeg,https://img5.lalafo.com/i/avatar/c0/48/41/25f4cb4a65c7579850b4027ed9.jpeg
6,Объём 1.8 цвет серебристый год 2003,625 240 KGS,https://img5.lalafo.com/i/posters/api/87/fc/1a/e90434abd6617d75ba3e230f90.jpeg,https://img5.lalafo.com/i/avatar/c0/48/41/25f4cb4a65c7579850b4027ed9.jpeg
7,В отличном состоянии,1 100 KGS,https://img5.lalafo.com/i/posters/api/1a/b1/81/4e1564154da15bb12aa82eedba.jpeg,
8,"3 комнаты, 70 м², Индивидуалка, 6 этаж",8 038 800 KGS,https://img5.lalafo.com/i/posters/api/0c/b9/4a/1d6ec0ea0a9d83935c1deba299.jpeg,https://img5.lalafo.com/i/avatar/be/37/fa/14a7396871750d6023e2c0b8bb.jpeg
9,"Daewoo Matiz: 2004 г., 0.8 л, Механика, Бензин",269 999 KGS,https://img5.lalafo.com/i/posters/api/14/d9/95/a83f93f3562d7b5ef44ff2d5eb.jpeg,
10,"Mercedes-Benz E-Class: 1990 г., 2 л, Механика, Бензин, | Седан",165 000 KGS,https://img5.lalafo.com/i/posters/api/30/a1/c3/a359d57f1db3b8248e0a13855f.jpeg,
11,"Изностойкие линзы (пленки), надежные пластиковые оправы универсального",500 000 KGS,https://img5.lalafo.com/i/posters/api/22/6f/bb/ea52a8ae28ca05408cc3931ab1.jpeg,https://img5.lalafo.com/i/avatar/7d/d2/56/4f64de52ab7cd9dac32eb9bd62.jpg
12,Берем,800 KGS,https://img5.lalafo.com/i/posters/api/2d/f3/b3/7ecb0b26613d80f4a94c69d721.jpeg,https://img5.lalafo.com/i/avatar/03/c7/5c/7496ed5eb014bcb71bb1bccea2.jpeg
13,"Хостел в центре Бишкека! Чистый, уютный, тёплый, безопасный! Своя",700 KGS,https://img5.lalafo.com/i/posters/api/ce/5a/b4/f860d4ca4c903faabe66f72c1f.jpeg,https://img5.lalafo.com/i/avatar/3e/9d/c2/8da5100bac059905e75adaa091.png
14,Двери | Межкомнатные Деревянные,9 000 KGS,https://img5.lalafo.com/i/posters/api/0f/e7/ad/2eab2e43484e3b271b491d360b.jpeg,https://img5.lalafo.com/i/avatar/07/e1/06/823ee04d3008f19030198418ad.jpeg
15,"Сумки 

сумки для тренировок 
сумки для походов",Договорная,https://img5.lalafo.com/i/posters/api/5e/b1/cc/3cbb62c760b2b04715ca10b80f.jpeg,https://img5.lalafo.com/i/business-profile/1b/2e/90/4af2cdcad675d336ac4bee8946.jpg
16,Продаю пыльник на ниссан патфайндер р50. Новый,800 KGS,https://img5.lalafo.com/i/posters/api/95/d3/46/0136b4bd8be8ac5e537539c2b4.jpeg,https://img5.lalafo.com/i/avatar/03/ae/e5/0dd64502aac5ed7565dd51708b.jpeg
17,"Ремонт под ключ | Офисы, Квартиры, Дома 3-5 лет опыта",Договорная,https://img5.lalafo.com/i/posters/api/98/3d/01/full-repair-offices-apartments-houses-3-5-years-experience-76017233_image-1698058395.jpeg,https://img5.lalafo.com/i/avatar/b9/04/0d/ea33e6ce98c7bf91b737207f31.jpeg
18,Серебряная монета Джейран продам 75 сом за грамм,75 KGS,https://img5.lalafo.com/i/posters/api/ef/b9/4c/serebryanaya-moneta-dzheiran-prodam-75-som-za-gramm-101797710_image-1698058424.jpeg,https://img5.lalafo.com/i/avatar/5e/07/34/6974291fd74abedcb22998edfb.jpeg
19,"Xiaomi Redmi 9T, Б/у, 128 ГБ, цвет - Черный, 2 SIM",10 000 KGS,https://img5.lalafo.com/i/posters/api/32/98/bc/a87b60e895230a2d9edfd291ae.jpeg,https://img5.lalafo.com/i/avatar/8f/97/58/de32cc60ec13898e292b51f296.jpeg
20,"Пальто 3XL (EU 46), 4XL (EU 48), цвет - Синий",1 500 KGS,https://img5.lalafo.com/i/posters/api/5e/db/84/women-s-coat-3xl-eu-46-4xl-eu-48-color-blue-52990448_image-1698058412.jpeg,https://img5.lalafo.com/i/avatar/db/d1/32/761a98e99737fda51682c2ae20.jpeg
21,"Автокосметика, Для кузова, Б/у, Оригинал, Япония",500 KGS,https://img5.lalafo.com/i/posters/api/94/2c/e8/6158b3010509bd796f66558191.jpeg,https://img5.lalafo.com/i/avatar/cd/f7/7a/a5d188df4a74078cd910b08745.jpeg
22,"Планшет, Б/у, Графический цвет - Черный",12 000 KGS,https://img5.lalafo.com/i/posters/api/d1/03/66/887a6d03ff1ed79a995360fd6a.jpeg,https://img5.lalafo.com/i/avatar/00/fd/c7/179f8e44771d599af0fb7f4d67.jpeg
